  .8244947263619373D+03  .5545444187030868D+00  .4952629982658023D+01  .4133119862588645D+00  .2130920209051539D+00 -.1627157215471818D+01      0  .824E+03  .555E+00  .495E+01  .413E+00  .213E+00  .163E+01
 
  .3050208038301304D+03  .5222530001412392D+00  .2779015684583697D+01  .6623857854224676D+00  .2904472513545525D+00 -.4288785258794447D+01      0  .305E+03  .522E+00  .278E+01  .662E+00  .290E+00  .429E+01
 
  .8619061781288619D+03  .5790525257024227D+00  .3865655936517593D+01  .5159419826771794D+00  .4765450470505958D+00 -.2823013248029004D+00      0  .862E+03  .579E+00  .387E+01  .516E+00  .477E+00  .282E+00
 
  .2922372790203604D+03  .4728532671801994D+00  .3318634059242268D+01  .3996201002037246D+00  .7414354080992918D+00 -.1401754877863231D+01      0  .292E+03  .473E+00  .332E+01  .400E+00  .741E+00  .140E+01
 
  .2294267624101726D+03  .2758356210197488D+00  .3833325659685454D+01  .7423496449097757D+00  .7000783504452921D+00 -.2839575924128290D+01      0  .229E+03  .276E+00  .383E+01  .742E+00  .700E+00  .284E+01
 
  .6425690334954154D+03  .9153674459156429D+00  .4056850051440694D+01  .4279073551427142D+00  .7279630493968554D+00 -.3137387813650615D+00      0  .643E+03  .915E+00  .406E+01  .428E+00  .728E+00  .314E+00
 
 
  .5576660045124274D+02  .4527725833617095D+00  .2157949546915954D+00  .5207385397344116D+00  .4124226244344258D+00 -.7596322956751000D+02    609  .558E+02  .453E+00  .216E+00  .521E+00  .412E+00  .760E+02
 
  .5576567786702769D+02  .4527911146904087D+00  .2158175522082994D+00  .5205864380581778D+00  .4125370653701787D+00 -.7596322666351443D+02    609  .558E+02  .453E+00  .216E+00  .521E+00  .413E+00  .760E+02
 
  .5576317012451339D+02  .4527355297421246D+00  .2157658446866341D+00  .5206982705809751D+00  .4124999234327689D+00 -.7596322900379182D+02    609  .558E+02  .453E+00  .216E+00  .521E+00  .412E+00  .760E+02
 
  .5577734910115115D+02  .4528343167869459D+00  .2157048868281123D+00  .5207971821337072D+00  .4124865403870885D+00 -.7596322352645049D+02    609  .558E+02  .453E+00  .216E+00  .521E+00  .412E+00  .760E+02
 
