  .5734593387662709D+03  .5768365637757054D+00  .1532180856788615D+01  .2640718305781818D+00  .4417519295782559D+00 -.3290564275773569D-03      0  .573E+03  .577E+00  .153E+01  .264E+00  .442E+00  .329E-03
 
  .8474790405237484D+03  .6809512842357863D+00  .4961249971278594D+00  .4594766624548830D+00  .7843743046672895D+00 -.4728900344610138D-04      0  .847E+03  .681E+00  .496E+00  .459E+00  .784E+00  .473E-04
 
  .8026054429554406D+03  .4929681939971485D+00  .1778688739975304D+01  .3968515788190308D+00  .3620928671034486D+00 -.2418084025338878D-03      0  .803E+03  .493E+00  .178E+01  .397E+00  .362E+00  .242E-03
 
  .6413883574965356D+03  .7036822950717444D+00  .4309728543138936D+01  .4665727570962966D+00  .2448777129151289D+00 -.6567165615457310D-03      0  .641E+03  .704E+00  .431E+01  .467E+00  .245E+00  .657E-03
 
  .5035747087018447D+03  .2488228582305940D+00  .4291319050961788D+00  .2282529628967182D+00  .7085367125033106D+00 -.1563283268281768D-03      0  .504E+03  .249E+00  .429E+00  .228E+00  .709E+00  .156E-03
 
  .2324751666805126D+03  .2155573465002502D+00  .3485174902568188D+01  .7708074333010277D+00  .5846455015170601D+00 -.1146493628655037D-02      0  .232E+03  .216E+00  .349E+01  .771E+00  .585E+00  .115E-02
 
 
  .3678708828170670D+02  .1173623244215797D+00  .1872859416496307D+01  .5244659353759652D+00  .4076000905124094D+00 -.1383720658267831D+00    403  .368E+02  .117E+00  .187E+01  .524E+00  .408E+00  .138E+00
 
  .3678590679900772D+02  .1173117713292394D+00  .1871714352507784D+01  .5242615017686598D+00  .4077194000092912D+00 -.1383720546155079D+00    403  .368E+02  .117E+00  .187E+01  .524E+00  .408E+00  .138E+00
 
  .3678514031232117D+02  .1172823646475794D+00  .1874129251457408D+01  .5245380546446179D+00  .4075921078043941D+00 -.1383720567645289D+00    403  .368E+02  .117E+00  .187E+01  .525E+00  .408E+00  .138E+00
 
  .3678773583634733D+02  .1173567298326975D+00  .1871769256356231D+01  .5245647198627266D+00  .4077058347729394D+00 -.1383720655662563D+00    403  .368E+02  .117E+00  .187E+01  .525E+00  .408E+00  .138E+00
 
  .3678743785190360D+02  .1173835895114064D+00  .1870279978773752D+01  .5243735324683524D+00  .4077731548380309D+00 -.1383720636683610D+00    403  .368E+02  .117E+00  .187E+01  .524E+00  .408E+00  .138E+00
 
  .3678793740303622D+02  .1173671825501652D+00  .1869732041314673D+01  .5243541197346208D+00  .4078350602168301D+00 -.1383720623825342D+00    403  .368E+02  .117E+00  .187E+01  .524E+00  .408E+00  .138E+00
 
 
  .1357415866645712D+03  .3277700170771080D+00  .3021380432425710D+00  .6113338394143311D+00  .4073926719871316D+00 -.4887454156968096D-02      0  .136E+03  .328E+00  .302E+00  .611E+00  .407E+00  .489E-02
 
  .6076512185892329D+02  .8494413456411293D+00  .4849736358900432D+01  .3979733596546452D+00  .7320605947319701D+00 -.4546801151986919D-02      0  .608E+02  .849E+00  .485E+01  .398E+00  .732E+00  .455E-02
 
  .5273369020723444D+03  .4676924363559543D+00  .2841673478876089D+00  .2225611734309053D+00  .5847879505645428D+00 -.2211505855146391D-03      0  .527E+03  .468E+00  .284E+00  .223E+00  .585E+00  .221E-03
 
  .2574047152685955D+03  .7480654081786355D+00  .1706505859599684D+01  .3335577953297448D+00  .4920801261868701D+00 -.1646028227218589D-02      0  .257E+03  .748E+00  .171E+01  .334E+00  .492E+00  .165E-02
 
  .6547637467434462D+03  .5781896490036461D+00  .1426190897648312D+01  .7987719874823336D+00  .5756492473071672D+00 -.1047148717858194D-03      0  .655E+03  .578E+00  .143E+01  .799E+00  .576E+00  .105E-03
 
