terms removed	raw	raw	raw	cyl	cyl	cyl	con	con	con	leg	leg	leg
files#	2-1	3-1	3-2	2-1	3-1	3-2	2-1	3-1	3-2	2-1	3-1	3-2
170223_stresscomp_1mrocpiece_	15.944591178145135	25.498965803631783	12.979171712746183	16.04674485353018	25.124256133294185	13.382468005166267	15.90470445542037	25.028364048413042	13.049596727622294	5.684726502090084	2.9795845820582425	5.701213373449813
170327_pco1s21_stresscomp_	8.337396132523228	6.582436335313339	11.971420010176521	3.6754756212099573	8.165997171098137	9.698003165334063	3.5354484087207205	11.753249753634725	13.06256781167663	3.8375740512570347	5.461886092159613	7.740457583443494
170330_01_pco1s23_	29.95582133870224	21.007109331580846	49.738341417102646	11.088690855958923	4.235989878963957	11.414447057592037	11.060403270960558	3.712161427772401	11.048735647200376	7.963505167549666	3.259037415684223	6.02709461544832
170504_pco1-2s01_	17.276787331878808	183.8245056429368	181.53005348061802	9.715038342138456	183.52601182838794	181.01017351561018	12.048234187734792	181.25472030222534	178.79972776879745	7.799922907773614	162.15370192776982	162.17145441110887
170606_pco1s15_	34.85470838383475	34.743452496595594	11.334156384629624	34.79659098917721	34.74161925421805	11.250727433564514	34.74488273304105	34.68877742806268	11.304041887160999	32.31473439115422	31.771625309822277	5.656931956327712
170620_pco1s15_pztdeposit_	15.366188759104425	43.86254793515429	42.61437925680372	18.58013898609302	37.95813495464659	38.524792199895856	15.4036222757171	36.97618660241819	37.65808475267864	14.299564568029089	34.057490533749295	33.22746523589719
170621_pco1s15_aucoatedpzt_	12.772187623447849	8.584794111054581	17.723984143412018	13.114999754004666	7.241256221712675	17.61804552273797	12.368101621153258	9.086828481131516	17.064517561521082	11.176093708849551	8.677328046415289	16.176433091279982
170713_pco1s15_	244.83441727578884	13.951069954856557	237.1355199103881	146.17428136271272	11.756263743360387	145.15130823293848	94.29201126960334	11.570440319344199	95.68332410436298	93.73241369437798	10.63650393331459	94.87585542193048
171030_sampleflatb_6incenter_	12.8196123996249	104.32099953022832	112.48009310383826	11.594153237538496	100.38816794857152	110.29445539568448	11.593290608050342	99.74139930810409	109.71775469312398	4.165453087020599	19.94241432144296	21.3071076821635
171030_sampleflatw_6incenter_	30.555197672226456	34.0489976553042	30.395605832881927	25.552864726584367	30.648981971016816	15.899844600116692	25.44355779319112	30.564947515020233	15.189804214042804	6.165299172033613	1.839033667359611	6.03862748213495
171113_c2s01_	109.21307990653082	195.33126218908694	167.41021562377912	109.12181171897419	196.8232492837449	168.42492842584977	109.25818654627776	194.03925738057941	166.1818669343357	109.85733641768785	186.57025416920956	160.05214513086696
171113_c2s02_	21.349396411798164	45.5057916565886	25.15599171870858	7.922569362560029	14.653096360956201	9.53908089216308	5.293718250098652	8.750166142632605	6.370605810225204	3.700160480195302	5.923325314431823	5.5415760467954405
171113_oab_postionfig_	15.304647065034619	13.128014680300108	26.626941696573905	10.611480240278173	13.165495163583149	19.878383810587312	10.947248807565966	13.774741894923297	19.554272587532573	9.57434512999824	12.581607766176399	13.887531248560007
171113_pco1s15_postpoling_indre	3307.6516748988715	2660.4303808388763	2514.0155010372746	3089.963520185443	2454.000221377478	2548.159625827211	2065.8522682254043	2410.054991823065	2211.156961332065	2023.4475945396343	2291.2046983323244	2193.512831585565
171229_c1s02_	84.86857883312108	76.28641813357441	14.59268640778594	20.428046034756417	12.27128891733373	12.771498956114335	14.17568372065025	10.301335889590097	9.879440762084801	13.5682243200041	8.669569999695938	9.778066117264734
171229_repeatability_refcyl_	112.23619277432921	151.4193359759869	39.84695170437913	6.631317129418482	6.3257837092873315	6.889116968575019	6.176340286424516	5.693916865624137	4.551775050770282	5.921840106687149	5.288100270875731	4.436559304335949
180206_c1s01_gentexcut_	20.074794080689927	53.24869319872159	72.81905222107412	3.933272536988685	8.797202765809008	9.422075548616748	3.8252737735472966	6.041267592987838	6.0253691986159295	2.219303548254071	4.089915851827678	5.028260873444232
180206_c1s02_gentexcut_	53.25269145857806	162.8108359413027	110.54263596663856	9.434377226154016	7.777490743869518	8.85217176350372	8.59004598946605	6.1245633116078775	8.654666391839589	5.90949461437789	6.053847148703718	5.411475661981694
180206_c1s03_gentexcut_	9.122180158893327	17.806979664540076	13.998481362402819	9.047440592716772	13.86278468318283	6.606579790046624	9.034662965156082	13.690461781567633	6.296839095094262	4.2936482522062525	4.05591033222531	3.552308339314071
180206_c1s04_gentexcut_	14.845892985188886	44.53431623983831	33.19773264851328	8.2481647591112	9.657198968319332	11.557645429269161	4.194562397898914	8.991548415461112	6.532172045850919	3.409699744249703	6.270059857049543	4.97419001504775
180206_c1s05_gentexcut_	7.071044324025288	16.34238425643637	11.415161675188905	5.78467388795119	8.440327633338983	5.718526260908729	5.078698031230456	7.280998294988514	5.481396240376805	4.026884692180677	4.046667714399945	4.2388583855892765
180206_c1s06_gentexcut_	7.467257189170774	20.242204373335472	23.40329868083457	6.706839070729479	16.425420276010403	17.511029966389472	6.703950133682083	8.920958824239808	10.79628822251679	4.197061078440799	5.322764964743485	5.180804347808393
180427_c1s07_	14.115230344023757	16.88893667693881	12.869203966831696	5.0888140026605795	13.409570481715514	12.678198899537186	3.9711980993451803	9.850415000868855	7.658789316820547	2.3002561792230924	4.3853931204480565	4.697870227653568
180502_c1s02_	38.69159764733112	39.78075416488008	6.164160993215419	8.987715465126684	11.162678943080753	5.94185219081345	9.097744199882346	10.428477795491988	4.699064454474072	7.734294588787895	10.161038576155025	4.543533196817825
